Name,Notiz,Produzent,Herkunft,Einheit
Hanf-Tee,"bio, vegan",Alpenpionier,Schweiz,20g
Rooibusch,,Gewürzprofi,Südafrika,80g
"Tee, ""Cha Verde""",,Gewürzprofi,Portugal/Azoren,80g
"Tee, ""Orange Pekoe""",,Gewürzprofi,Portugal/Azoren,80g
"Tee, Assam (Schwarztee, stark)",,Gewürzprofi,Indien,80g
"Tee, Earl Grey (Schwarztee mit Bergamotte)",,Gewürzprofi,China,80g
"Kamille, echte",bio Kräutertee,Grünenfelder Herbs,Vaulion/VD,15g
"Kräitertee ""Drachenfeuer"" (Halstee)",bio Kräutertee,Grünenfelder Herbs,Vaulion/VD,50g
"Kräutertee ""Gute-Nacht-Tee""",bio Kräutertee,Grünenfelder Herbs,Vaulion/VD,50g
"Kräutertee ""Morgentee""",bio Kräutertee,Grünenfelder Herbs,Vaulion/VD,50g
Lindenblüten,bio Kräutertee,Grünenfelder Herbs,Vaulion/VD,20g
Marokkanische Minze,bio Kräutertee,Grünenfelder Herbs,Vaulion/VD,30g
"Kaffee ""La Bomba""","Espresso-Mischung, 60% Robusta, 40% Arabica",KAFFEEPUR,Wiedikon,1kg
"Kaffee ""Vulcano Nero""",100% Arabica Mischung,KAFFEEPUR,Wiedikon,1kg
Algen-Roiboos-Tee,bio,Porto-Muiños,Spanien (Galicia),100g
Hibiskusblüten - Bissap,fairtrade,Tamneere,Burkina Faso,100g
Lemongrass - Citronelle,fairtrade,Tamneere,Burkina Faso,100g
Zitronenverveine,fairtrade,Tamneere,Burkina Faso,100g
