Name,Notiz,Produzent,Herkunft,Einheit
Reiniger Allzweck,1 Tab = 1 (Sprüh-)Flasche Putzmittel,Bio Baula,Deutschland,3 Tabs
Reiniger Bad,1 Tab = 1 (Sprüh-)Flasche Putzmittel,Bio Baula,Deutschland,3 Tabs
Reiniger Glas,1 Tab = 1 (Sprüh-)Flasche Putzmittel,Bio Baula,Deutschland,3 Tabs
Reiniger Küche,1 Tab = 1 (Sprüh-)Flasche Putzmittel,Bio Baula,Deutschland,3 Tabs
Wasch-Tabs,1 Tab = 1 Waschgang,Bio Baula,Deutschland,19 Tabs
Getreidebehälter 12 l (10 kg),,biofarm,Schweiz,1 Fass
Getreidebehälter 30 l (25 kg),,biofarm,Schweiz,1 Fass
Desinfektion D3,Wohlriechendes und hautpflegendes Händedesinfektionsmittel mit natürlichen ätherischen Ölen.,Eigenproduktion,Wiedikon,150ml
Desinfektion D3 Refill,Refill inkl. Briefkastenabholung,Eigenproduktion,Wiedikon,150ml
Kondome Fummeldschungel,54mm breit,Einhorn,Malaysia,7 Stück
Kondome Tyrannosaurus-Sex,57mm breit,Einhorn,Malaysia,7 Stück
Periodenprodukte - Binden Nacht Padsy Nuit,"bio, sozial",Einhorn,Italien,10
Periodenprodukte - Binden Tag Padsy Bonjo,"bio, sozial",Einhorn,Italien,10
Periodenprodukte - Slipeinlagen,"bio, sozial",Einhorn,Italien,24
Periodenprodukte - Tampon normalo,"bio, sozial",Einhorn,Slovenien,16
Periodenprodukte - Tampon piccolo,"bio, sozial",Einhorn,Slovenien,16
Periodenprodukte - Tampon super,"bio, sozial",Einhorn,Slovenien,16
Lippenbalsam Lindenblüten,"bio, Stick",Grünenfelder Herbs,Vaulion/VD,1 Stick
Lippenbalsam Rosenblüten,"bio, Stick",Grünenfelder Herbs,Vaulion/VD,1 Stick
Ringelblumen-Salbe,"bio / Tiegel / Für rissige Haut, Wundheilung",Grünenfelder Herbs,Vaulion/VD,50ml
SOS & Mou'stik,"Stick / Desinfektion, Wundheilung und lindert den Juckreiz (Mückenstiche)",Grünenfelder Herbs,Vaulion/VD,1 Stick
Calendula-Öl (Körperpflege),vegan,Soglio,Graubünden,100ml
Conditioner,vegan,Soglio,Graubünden,200ml
Duschplus,vegan,Soglio,Graubünden,200ml
Duschplus (Nachfüllpack),vegan,Soglio,Graubünden,1000ml
"Massage-Öl, Johannis",vegan,Soglio,Graubünden,100ml
"Massage-Öl, Lavendel",vegan,Soglio,Graubünden,100ml
Pflegemilch Sativa,vegan,Soglio,Graubünden,200ml
Sativa (Pflege)-Crème,"vegan, Gesichtscrème",Soglio,Graubünden,50ml
"Seife, Bergkräuter","vegan, für die Hand",Soglio,Graubünden,95g
Shampoo für normales Haar,vegan,Soglio,Graubünden,200ml
Shampoo für normales Haar (Nachfüllpack),vegan,Soglio,Graubünden,1000ml
Solar 7 - Sonnenschutz,vegan,Soglio,Graubünden,200ml
Sonnencrème Après-Solar,vegan,Soglio,Graubünden,200ml
Spirea Sport-Öl,vegan,Soglio,Graubünden,100ml
"Zahnpasta, Natur",vegan,Soglio,Graubünden,75ml
"Sheabutter (natur, unparfümiert)",fairtrade,Tamneere,Burkina Faso,150g
Soli Token,Spende an Tamneere,Tamneere,Burkina Faso,virtuell
Seife Fichtänodlä Pflegeseife,"bio, vegan",Toggenburger Naturseifen,Toggenburg,1 Stück
Seife Holder & Zitronenmelissä Pflegeseife,"bio, vegan",Toggenburger Naturseifen,Toggenburg,1 Stück
Seife Kamille Shampooseife - Mit Schafmilch,"bio, für trockenes bis normales Haar",Toggenburger Naturseifen,Toggenburg,1 Stück
Seife Le Figaro Rasierseife - Mit Schafmilch,bio,Toggenburger Naturseifen,Toggenburg,1 Stück
Seife Lemongrass Shampooseife,"bio, für normales bis fettiges Haar / vegan",Toggenburger Naturseifen,Toggenburg,1 Stück
Seifen-Füdlis,"bio, Seifen-Anschnitte im Sack",Toggenburger Naturseifen,Toggenburg,380g
