Name,Notiz,Produzent,Herkunft,Einheit
Hanfpasta,"bio, vegan",Alpenpionier,Schweiz,350g
Dinkel-Hörnli,"bio, Vollkorn, lokal",Daniels Dinkel Pasta,Schübelbach/SZ,500g
Dinkel-Muscheln,"bio, Vollkorn, lokal",Daniels Dinkel Pasta,Schübelbach/SZ,500g
Dinkel-Spaghetti,"bio, Vollkorn, lokal",Daniels Dinkel Pasta,Schübelbach/SZ,500g
Dinkel-Strozzapreti,"bio, Vollkorn, lokal",Daniels Dinkel Pasta,Schübelbach/SZ,500g
Anelletti,bio,Libera Terra,Italien,6x500g
Caserecce,bio,Libera Terra,Italien,6x500g
Fusilli,bio,Libera Terra,Italien,6x500g
Paccheri artigianali,bio,Libera Terra,Italien,6x500g
Penne,bio,Libera Terra,Italien,1kg
Rigatoni,bio,Libera Terra,Italien,6x500g
Spaghetti,bio,Libera Terra,Italien,6x500g
Lasagne senza uove grano duro,Produzent IRIS,Terra Verde,Italien,5x250g
Orecchiette semola di grano duro,Produzent IRIS,Terra Verde,Italien,6x500g
Pappardelle,bio,Terra Verde,Italien,250g
