Name,Notiz,Produzent,Herkunft,Einheit
Hanfnüsse geschält,,Alpenpionier,Schweiz,150g
Hanfnüsse ungeschält,,Alpenpionier,Schweiz,150g
Kino-Hanf,,Alpenpionier,Schweiz,150g
Kürbiskerne im Beutel,Knospe,biofarm,Schweiz,350g
Leinsamen im Beutel,Knospe,biofarm,Schweiz,350g
Mohnsamen im Beutel,Knospe,biofarm,Schweiz,200g
Rapskerne im Beutel,Knospe,biofarm,Schweiz,200g
Sonnenblumenkerne im Beutel,Knospe,biofarm,Schweiz,350g
Cashew Nüsse gesalzen/geröstet,,gebana,W. Africa,1kg
Cashew Nüsse Nature,ganz,gebana,W. Africa,1kg
Macadamia Nüsse,Bruch,gebana,Kenia,1kg
Nussmischung geröstet/gesalzen,,gebana,various,1kg
Paranüsse,,gebana,Bolivien,1kg
Pekannüsse,,gebana,Peru,500g
Zedernüssli,,gebana,Russland,500g
Haselnüsse geröstet,vakuumiert,Orliva,Spanien (Katalonien),1kg
Haselnüsse natur,vakuumiert,Orliva,Spanien (Katalonien),1kg
Mandeln geröstet und gesalzen,vakuumiert,Orliva,Spanien (Katalonien),1kg
Mandeln Marcona blanchiert,vakuumiert,Orliva,Spanien (Katalonien),500g
Mandeln natur,,Orliva,Spanien (Katalonien),1kg
Pistazien gesalzen,in Schale,Orliva,Spanien (Katalonien),500g
Pistazien natur,geschält,Orliva,Spanien (Katalonien),500g
Cashewnüsse Bruch,über offenem Feuer verarbeitet (Rauchnote),Tamneere,Burkina Faso,500g
Erdnüsse (geröstet in der Schale),,Tamneere,Burkina Faso,500g
"Erdnüsse (geschält, gesalzen)",,Tamneere,Burkina Faso,500g
"Sesamsamen (natur, ungeröstet)",,Tamneere,Burkina Faso,500g
