Name,Notiz,Produzent,Herkunft,Einheit
Dörrbohnen,Knospe,biofarm,Schweiz,250g
Kokosraspel,echte Rohkost,DR. Goerg,Phillipinen,200gr
"Bananen, getrocknet",entspr. 1kg frischen Bananen,Finca el Paraíso,Spanien (Kanarische Inseln),200g
Mango säuerlich,,gebana,Burkina Faso,1kg
Mango süss,,gebana,Burkina Faso,1kg
Rispendatteln,,gebana,Tunesien,1kg
Agar Agar in Flocken,,Porto-Muiños,Spanien (Galicia),25g
Algensalat Mix,,Porto-Muiños,Spanien (Galicia),25g
Nori (Blätter für Sushi),,Porto-Muiños,Spanien (Galicia),15g
Wakame,,Porto-Muiños,Spanien (Galicia),50g
Feigen,"getrocknet, bio",Röbi Gschwend,Griechenland,250g
