Name,Notiz,Produzent,Herkunft,Einheit
HanfHai (Proteinriegel Birne),"bio, vegan",Alpenpionier,Schweiz,4x55g
HanfSegler (Proteinriegel Apfel),"bio, vegan",Alpenpionier,Schweiz,4x42g
Birnel im Glas,Knospe,biofarm,Schweiz,500g
Konfitüre Aprikosen,bio,Biofruits,Wallis,260g
Konfitüre Williams Birne,bio,Biofruits,Wallis,260g
Dattel-Walnuss-Riegel,,gebana,various,24x40g
Kokosblütenzucker,,gebana,Indonesien,1kg
Rohrohrzucker,,gebana,Paraguay,1kg
Schokolade Milch,Münzenform,gebana,Togo,1kg
Schokolade Zartbitter,Münzenform,gebana,Togo,1kg
Schokoladen Erdnüsse,,gebana,Kolumbien,500g
Vollrohrzucker,,gebana,Philippinen,1kg
Honig von Bauwagen-Bienli,"cremig, Sorte: Wo die Bienli halt hinfliegen…",Karin Siegenthaler,Fruttal,500g
"Schokolade (Bruch, sortenrein, schwarz, vegan)",Sorte = Überraschung,laflor,Zürich,500g
"Schokolade (Nibs, schwarz, vegan)",Sorte = Überraschung,laflor,Zürich,140g
"Schokolade (Tafel, sortenrein, dunkel, mit Milch)",Sorte = Überraschung,laflor,Zürich,70g
"Schokolade (Tafel, sortenrein, schwarz, vegan)",Sorte = Überraschung,laflor,Zürich,70g
Schokolade-Dragées ,Edel-Upcycling: Breadcrumbs ummantelt mit schwarzer Milchschoggi,laflor,Zürich,500g
Carobbrotaufstrich,vegan,Orliva,Spanien (Katalonien),200g
Carob-Schokolade Garrofina Haselnuss,"bio, vegan",Orliva,Spanien (Katalonien),100g
Carob-Schokolade Garrofina Mandel,"bio, vegan",Orliva,Spanien (Katalonien),100g
Carob-Schokolade Garrofina natur,"bio, vegan",Orliva,Spanien (Katalonien),100g
Marmellata di Arance Moro,bio,Terra Verde,Italien,280g
"Honig ""Züricher Stadthonig""",,Wabe3,Wiedikon,250g
