Name,Notiz,Produzent,Herkunft,Einheit
Hanfprotein,"bio, vegan",Alpenpionier,Schweiz,400g
Hanfpulver,"bio, vegan",Alpenpionier,Schweiz,400g
Cornflakes,bio,Bassetti,Tessin,400g
Dinkelflakes,bio,Bassetti,Tessin,400g
Cashew Paste,,gebana,W. Africa,500g
Macadamia Paste,,gebana,Kenia,500g
Tahin (Sesampaste),fairtrade,Tamneere,Burkina Faso,330g
Artischocken-Patè,bio,Libera Terra,Italien,130g
Caponata siciliana,bio,Libera Terra,Italien,270g
Linsensuppe,bio,Libera Terra,Italien,285g
Tarallini pugliesi,"bio, Cracker",Libera Terra,Italien,250g
"Tomaten, getrocknet in Olivenöl",bio,Libera Terra,Italien,290g
Mokä Gmüesbouillon (Linsenburger-Mischung),"bio, vegan",Mokä,Bassersdorf,250g
Mokä Harissa (Linsenburger-Mischung),"bio, vegan",Mokä,Bassersdorf,250g
Mokä Rosmarin-Knobli (Linsenburger-Mischung),"bio, vegan",Mokä,Bassersdorf,250g
Algen-Chimichurri,bio,Porto-Muiños,Spanien (Galicia),170g
"Cherry-Tomaten, gelb, eingelegt","bio, fairtrade",Primabio,Italien (Apulien),550g
"Datterino-Tomaten, eingelegt","bio, fairtrade",Primabio,Italien (Apulien),550g
Sugo  al basilico,"bio, fairtrade",Primabio,Italien (Apulien),280g
Sugo  all'arrabbiata,"bio, fairtrade",Primabio,Italien (Apulien),280g
"Tomaten gehackt (Polpa), Gastrobedarf","bio, fairtrade",Primabio,Italien (Apulien),2.4kg
Tomaten Passata,"bio, fairtrade",Primabio,Italien (Apulien),690g
Tomaten Passata dolce di Datterino,"bio, fairtrade",Primabio,Italien (Apulien),550g
"Tomaten Passata, gelb","bio, fairtrade",Primabio,Italien (Apulien),420g
"Tomaten, von Hand geschält in Sugo (Pelato a Mano)","bio, fairtrade",Primabio,Italien (Apulien),550g
Erdnussbutter (MHD Jan 21),fairtrade,Tamneere,Burkina Faso,330g
Crema di Peperoncino piccante,bio,Terra Verde,Italien,120g
Ketchup tradizionale,bio,Terra Verde,Italien,350g
Olive nere in Olio extra vergine di Oliva,bio,Terra Verde,Italien,190g
Olive verdi Nocellara in Salamoia,bio,Terra Verde,Italien,185g
Pesto ai funghi con funghi porcini,bio,Terra Verde,Italien,170g
Pesto vegan con Basilico,bio,Terra Verde,Italien,130g
Vollreiswafeln ,Produzent IRIS,Terra Verde,Italien,6x120g
