Name,Notiz,Produzent,Herkunft,Einheit
Hanf-Öl,"bio, vegan",Alpenpionier,Schweiz,250ml
Olivenöl Coratina,"bio, 100% Coratina",Azienda Agricola de Palma,"Bari, Italien",0.5l
Olivenöl Coratina (Bag in Box),"bio, 100% Coratina",Azienda Agricola de Palma,"Bari, Italien",3l
Olivenöl Fusion,"bio, Blend",Azienda Agricola de Palma,"Bari, Italien",0.5l
Olivenöl Fusion (Bag in Box),"bio, Blend",Azienda Agricola de Palma,"Bari, Italien",3l
Apfelessig in der Pet-Flasche,Knospe,biofarm,Schweiz,1l
Kürbiskernöl in der Flasche,Knospe,biofarm,Schweiz,250ml
Leinöl in der Flasche,Knospe,biofarm,Schweiz,500ml
Erdnussöl,"fairtrade, hoch erhitzbar",Tamneere,Burkina Faso,0.5l
"Sesamöl, kaltgepresst",fairtrade,Tamneere,Burkina Faso,0.5l
"Aceto Balsamico di Modena IGP ""SUPERIORE""",bio,Terra Verde,Italien,500ml
Balsamico bianco Condimento Classico,bio,Terra Verde,Italien, 5l
Crema al Aceto Balsamico di Modena IGP,bio,Terra Verde,Italien,150ml
